2022-03-25 12:49:44.668|[http-nio-0.0.0.0-8002-exec-7]|INFO |c.t.a.w.annotation.LogCostTime-请求用户：oBfby4h_1hj7bP3cNTnPesDkZYU0
2022-03-25 12:49:44.668|[http-nio-0.0.0.0-8002-exec-7]|INFO |c.t.a.w.annotation.LogCostTime-请求方式：GET，方法：getOneImpressions
2022-03-25 12:49:44.668|[http-nio-0.0.0.0-8002-exec-7]|INFO |c.t.a.w.annotation.LogCostTime-请求参数：[11, org.apache.catalina.connector.RequestFacade@3828859a]
2022-03-25 12:49:44.698|[http-nio-0.0.0.0-8002-exec-7]|INFO |c.t.a.c.ImpressionsController-从redis中拿到的心得数据
2022-03-25 12:49:44.782|[http-nio-0.0.0.0-8002-exec-7]|INFO |c.t.a.w.annotation.LogCostTime-请求结束时间：2022-03-25 12:49:44.782
2022-03-25 12:49:44.782|[http-nio-0.0.0.0-8002-exec-7]|INFO |c.t.a.w.annotation.LogCostTime-请求耗时：114
2022-03-25 12:49:49.926|[http-nio-0.0.0.0-8002-exec-1]|INFO |c.t.a.w.annotation.LogCostTime-请求时间：2022-03-25 12:49:49.926
2022-03-25 12:49:49.926|[http-nio-0.0.0.0-8002-exec-1]|INFO |c.t.a.w.annotation.LogCostTime-请求IP：192.168.10.25
2022-03-25 12:49:49.926|[http-nio-0.0.0.0-8002-exec-1]|INFO |c.t.a.w.annotation.LogCostTime-请求用户：oBfby4h_1hj7bP3cNTnPesDkZYU0
2022-03-25 12:49:49.927|[http-nio-0.0.0.0-8002-exec-1]|INFO |c.t.a.w.annotation.LogCostTime-请求方式：GET，方法：getOneImpressions
2022-03-25 12:49:49.927|[http-nio-0.0.0.0-8002-exec-1]|INFO |c.t.a.w.annotation.LogCostTime-请求参数：[13, org.apache.catalina.connector.RequestFacade@4a7a2aab]
2022-03-25 12:49:49.958|[http-nio-0.0.0.0-8002-exec-1]|INFO |c.t.a.c.ImpressionsController-从redis中拿到的心得数据
2022-03-25 12:49:50.035|[http-nio-0.0.0.0-8002-exec-1]|INFO |c.t.a.w.annotation.LogCostTime-请求结束时间：2022-03-25 12:49:50.034
2022-03-25 12:49:50.035|[http-nio-0.0.0.0-8002-exec-1]|INFO |c.t.a.w.annotation.LogCostTime-请求耗时：108
2022-03-25 12:50:09.092|[http-nio-0.0.0.0-8002-exec-3]|INFO |c.t.a.w.annotation.LogCostTime-请求时间：2022-03-25 12:50:09.092
2022-03-25 12:50:09.092|[http-nio-0.0.0.0-8002-exec-3]|INFO |c.t.a.w.annotation.LogCostTime-请求IP：192.168.10.25
2022-03-25 12:50:09.092|[http-nio-0.0.0.0-8002-exec-3]|INFO |c.t.a.w.annotation.LogCostTime-请求用户：oBfby4h_1hj7bP3cNTnPesDkZYU0
2022-03-25 12:50:09.092|[http-nio-0.0.0.0-8002-exec-3]|INFO |c.t.a.w.annotation.LogCostTime-请求方式：PUT，方法：updateImpressions
2022-03-25 12:50:09.092|[http-nio-0.0.0.0-8002-exec-3]|INFO |c.t.a.w.annotation.LogCostTime-请求参数：[UpdateImpressions(content=222, imagesUrls=[], actStars=3, id=8)]
2022-03-25 13:06:33.787|[main]|INFO |com.torch.app.AppApplication-Starting AppApplication using Java 1.8.0_202 on LAPTOP-B8LA37VK with PID 7848 (D:\Desktop\薪火技术部\微信小程序\torch\薪火小程序后端\server\torch_server\app_server\target\classes started by 79014 in D:\Desktop\薪火技术部\微信小程序\torch\薪火小程序后端\server)
2022-03-25 13:06:33.791|[main]|INFO |com.torch.app.AppApplication-No active profile set, falling back to default profiles: default
2022-03-25 13:06:37.939|[main]|INFO |c.t.app.config.RedissonConfig-布隆过滤器初始化成功
2022-03-25 13:06:39.324|[main]|INFO |com.torch.app.AppApplication-Started AppApplication in 6.183 seconds (JVM running for 7.173)
2022-03-25 13:07:12.282|[http-nio-0.0.0.0-8002-exec-1]|INFO |c.t.a.c.UserController-用户登录成功：4
2022-03-25 13:07:12.412|[http-nio-0.0.0.0-8002-exec-2]|INFO |c.t.a.w.annotation.LogCostTime-请求时间：2022-03-25 13:07:12.412
2022-03-25 13:07:12.413|[http-nio-0.0.0.0-8002-exec-2]|INFO |c.t.a.w.annotation.LogCostTime-请求IP：192.168.10.25
2022-03-25 13:07:12.413|[http-nio-0.0.0.0-8002-exec-2]|INFO |c.t.a.w.annotation.LogCostTime-请求用户：oBfby4h_1hj7bP3cNTnPesDkZYU0
2022-03-25 13:07:12.414|[http-nio-0.0.0.0-8002-exec-2]|INFO |c.t.a.w.annotation.LogCostTime-请求方式：GET，方法：getActivities
2022-03-25 13:07:12.414|[http-nio-0.0.0.0-8002-exec-2]|INFO |c.t.a.w.annotation.LogCostTime-请求参数：[0, 4]
2022-03-25 13:07:12.679|[http-nio-0.0.0.0-8002-exec-2]|INFO |c.t.a.w.annotation.LogCostTime-请求结束时间：2022-03-25 13:07:12.679
2022-03-25 13:07:12.679|[http-nio-0.0.0.0-8002-exec-2]|INFO |c.t.a.w.annotation.LogCostTime-请求耗时：267
2022-03-25 13:07:14.216|[http-nio-0.0.0.0-8002-exec-3]|INFO |c.t.a.w.annotation.LogCostTime-请求时间：2022-03-25 13:07:14.216
2022-03-25 13:07:14.216|[http-nio-0.0.0.0-8002-exec-3]|INFO |c.t.a.w.annotation.LogCostTime-请求IP：192.168.10.25
2022-03-25 13:07:14.216|[http-nio-0.0.0.0-8002-exec-3]|INFO |c.t.a.w.annotation.LogCostTime-请求用户：oBfby4h_1hj7bP3cNTnPesDkZYU0
2022-03-25 13:07:14.216|[http-nio-0.0.0.0-8002-exec-3]|INFO |c.t.a.w.annotation.LogCostTime-请求方式：GET，方法：getUser
2022-03-25 13:07:14.217|[http-nio-0.0.0.0-8002-exec-3]|INFO |c.t.a.w.annotation.LogCostTime-请求参数：[org.apache.catalina.connector.RequestFacade@3adc716f]
2022-03-25 13:07:14.250|[http-nio-0.0.0.0-8002-exec-4]|INFO |c.t.a.w.annotation.LogCostTime-请求时间：2022-03-25 13:07:14.250
2022-03-25 13:07:14.250|[http-nio-0.0.0.0-8002-exec-4]|INFO |c.t.a.w.annotation.LogCostTime-请求IP：192.168.10.25
2022-03-25 13:07:14.250|[http-nio-0.0.0.0-8002-exec-4]|INFO |c.t.a.w.annotation.LogCostTime-请求用户：oBfby4h_1hj7bP3cNTnPesDkZYU0
2022-03-25 13:07:14.250|[http-nio-0.0.0.0-8002-exec-4]|INFO |c.t.a.w.annotation.LogCostTime-请求方式：GET，方法：getVolInfoOver
2022-03-25 13:07:14.250|[http-nio-0.0.0.0-8002-exec-4]|INFO |c.t.a.w.annotation.LogCostTime-请求参数：[0, org.apache.catalina.connector.RequestFacade@57d1ce54]
2022-03-25 13:07:14.256|[http-nio-0.0.0.0-8002-exec-5]|INFO |c.t.a.w.annotation.LogCostTime-请求时间：2022-03-25 13:07:14.256
2022-03-25 13:07:14.256|[http-nio-0.0.0.0-8002-exec-5]|INFO |c.t.a.w.annotation.LogCostTime-请求IP：192.168.10.25
2022-03-25 13:07:14.256|[http-nio-0.0.0.0-8002-exec-5]|INFO |c.t.a.w.annotation.LogCostTime-请求用户：oBfby4h_1hj7bP3cNTnPesDkZYU0
2022-03-25 13:07:14.256|[http-nio-0.0.0.0-8002-exec-5]|INFO |c.t.a.w.annotation.LogCostTime-请求方式：GET，方法：getVolInfoOver
2022-03-25 13:07:14.256|[http-nio-0.0.0.0-8002-exec-5]|INFO |c.t.a.w.annotation.LogCostTime-请求参数：[1, org.apache.catalina.connector.RequestFacade@3f21305e]
2022-03-25 13:07:14.287|[http-nio-0.0.0.0-8002-exec-3]|INFO |c.t.a.c.UserController-从缓存中拿到用户信息
2022-03-25 13:07:14.288|[http-nio-0.0.0.0-8002-exec-3]|INFO |c.t.a.w.annotation.LogCostTime-请求结束时间：2022-03-25 13:07:14.288
2022-03-25 13:07:14.288|[http-nio-0.0.0.0-8002-exec-3]|INFO |c.t.a.w.annotation.LogCostTime-请求耗时：32
2022-03-25 13:07:14.507|[http-nio-0.0.0.0-8002-exec-5]|INFO |c.t.a.s.impl.SignUpServiceImpl-从缓存拿到父活动信息
2022-03-25 13:07:15.205|[http-nio-0.0.0.0-8002-exec-5]|INFO |c.t.a.s.impl.SignUpServiceImpl-从缓存拿到父活动信息
2022-03-25 13:07:15.700|[http-nio-0.0.0.0-8002-exec-5]|INFO |c.t.a.s.impl.SignUpServiceImpl-从缓存拿到父活动信息
2022-03-25 13:07:16.550|[http-nio-0.0.0.0-8002-exec-5]|INFO |c.t.a.s.impl.SignUpServiceImpl-从缓存拿到父活动信息
2022-03-25 13:07:16.814|[http-nio-0.0.0.0-8002-exec-4]|INFO |c.t.a.w.annotation.LogCostTime-请求结束时间：2022-03-25 13:07:16.814
2022-03-25 13:07:16.814|[http-nio-0.0.0.0-8002-exec-4]|INFO |c.t.a.w.annotation.LogCostTime-请求耗时：2558
2022-03-25 13:07:17.274|[http-nio-0.0.0.0-8002-exec-5]|INFO |c.t.a.s.impl.SignUpServiceImpl-从缓存拿到父活动信息
2022-03-25 13:07:17.427|[http-nio-0.0.0.0-8002-exec-5]|INFO |c.t.a.w.annotation.LogCostTime-请求结束时间：2022-03-25 13:07:17.427
2022-03-25 13:07:17.427|[http-nio-0.0.0.0-8002-exec-5]|INFO |c.t.a.w.annotation.LogCostTime-请求耗时：3171
2022-03-25 13:07:33.362|[http-nio-0.0.0.0-8002-exec-6]|INFO |c.t.a.c.UserController-用户登录成功：4
2022-03-25 13:07:33.483|[http-nio-0.0.0.0-8002-exec-7]|INFO |c.t.a.w.annotation.LogCostTime-请求时间：2022-03-25 13:07:33.483
2022-03-25 13:07:33.483|[http-nio-0.0.0.0-8002-exec-7]|INFO |c.t.a.w.annotation.LogCostTime-请求IP：192.168.10.25
2022-03-25 13:07:33.483|[http-nio-0.0.0.0-8002-exec-7]|INFO |c.t.a.w.annotation.LogCostTime-请求用户：oBfby4h_1hj7bP3cNTnPesDkZYU0
2022-03-25 13:07:33.483|[http-nio-0.0.0.0-8002-exec-7]|INFO |c.t.a.w.annotation.LogCostTime-请求方式：GET，方法：getActivities
2022-03-25 13:07:33.483|[http-nio-0.0.0.0-8002-exec-7]|INFO |c.t.a.w.annotation.LogCostTime-请求参数：[0, 4]
2022-03-25 13:07:33.769|[http-nio-0.0.0.0-8002-exec-7]|INFO |c.t.a.w.annotation.LogCostTime-请求结束时间：2022-03-25 13:07:33.769
2022-03-25 13:07:33.769|[http-nio-0.0.0.0-8002-exec-7]|INFO |c.t.a.w.annotation.LogCostTime-请求耗时：286
2022-03-25 13:07:34.671|[http-nio-0.0.0.0-8002-exec-9]|INFO |c.t.a.w.annotation.LogCostTime-请求时间：2022-03-25 13:07:34.671
2022-03-25 13:07:34.671|[http-nio-0.0.0.0-8002-exec-8]|INFO |c.t.a.w.annotation.LogCostTime-请求时间：2022-03-25 13:07:34.671
2022-03-25 13:07:34.671|[http-nio-0.0.0.0-8002-exec-9]|INFO |c.t.a.w.annotation.LogCostTime-请求IP：192.168.10.25
2022-03-25 13:07:34.671|[http-nio-0.0.0.0-8002-exec-8]|INFO |c.t.a.w.annotation.LogCostTime-请求IP：192.168.10.25
2022-03-25 13:07:34.671|[http-nio-0.0.0.0-8002-exec-9]|INFO |c.t.a.w.annotation.LogCostTime-请求用户：oBfby4h_1hj7bP3cNTnPesDkZYU0
2022-03-25 13:07:34.671|[http-nio-0.0.0.0-8002-exec-8]|INFO |c.t.a.w.annotation.LogCostTime-请求用户：oBfby4h_1hj7bP3cNTnPesDkZYU0
2022-03-25 13:07:34.671|[http-nio-0.0.0.0-8002-exec-8]|INFO |c.t.a.w.annotation.LogCostTime-请求方式：GET，方法：getUser
2022-03-25 13:07:34.671|[http-nio-0.0.0.0-8002-exec-9]|INFO |c.t.a.w.annotation.LogCostTime-请求方式：GET，方法：getVolInfoOver
2022-03-25 13:07:34.671|[http-nio-0.0.0.0-8002-exec-8]|INFO |c.t.a.w.annotation.LogCostTime-请求参数：[org.apache.catalina.connector.RequestFacade@3f21305e]
2022-03-25 13:07:34.671|[http-nio-0.0.0.0-8002-exec-9]|INFO |c.t.a.w.annotation.LogCostTime-请求参数：[0, org.apache.catalina.connector.RequestFacade@57d1ce54]
2022-03-25 13:07:34.717|[http-nio-0.0.0.0-8002-exec-8]|INFO |c.t.a.c.UserController-从缓存中拿到用户信息
2022-03-25 13:07:34.718|[http-nio-0.0.0.0-8002-exec-8]|INFO |c.t.a.w.annotation.LogCostTime-请求结束时间：2022-03-25 13:07:34.717
2022-03-25 13:07:34.718|[http-nio-0.0.0.0-8002-exec-8]|INFO |c.t.a.w.annotation.LogCostTime-请求耗时：46
2022-03-25 13:07:34.778|[http-nio-0.0.0.0-8002-exec-10]|INFO |c.t.a.w.annotation.LogCostTime-请求时间：2022-03-25 13:07:34.778
2022-03-25 13:07:34.778|[http-nio-0.0.0.0-8002-exec-10]|INFO |c.t.a.w.annotation.LogCostTime-请求IP：192.168.10.25
2022-03-25 13:07:34.778|[http-nio-0.0.0.0-8002-exec-10]|INFO |c.t.a.w.annotation.LogCostTime-请求用户：oBfby4h_1hj7bP3cNTnPesDkZYU0
2022-03-25 13:07:34.778|[http-nio-0.0.0.0-8002-exec-10]|INFO |c.t.a.w.annotation.LogCostTime-请求方式：GET，方法：getVolInfoOver
2022-03-25 13:07:34.778|[http-nio-0.0.0.0-8002-exec-10]|INFO |c.t.a.w.annotation.LogCostTime-请求参数：[1, org.apache.catalina.connector.RequestFacade@3adc716f]
2022-03-25 13:07:35.132|[http-nio-0.0.0.0-8002-exec-10]|INFO |c.t.a.s.impl.SignUpServiceImpl-从缓存拿到父活动信息
2022-03-25 13:07:35.446|[http-nio-0.0.0.0-8002-exec-10]|INFO |c.t.a.s.impl.SignUpServiceImpl-从缓存拿到父活动信息
2022-03-25 13:07:36.392|[http-nio-0.0.0.0-8002-exec-9]|INFO |c.t.a.w.annotation.LogCostTime-请求结束时间：2022-03-25 13:07:36.392
2022-03-25 13:07:36.392|[http-nio-0.0.0.0-8002-exec-9]|INFO |c.t.a.w.annotation.LogCostTime-请求耗时：1614
2022-03-25 13:07:36.608|[http-nio-0.0.0.0-8002-exec-10]|INFO |c.t.a.s.impl.SignUpServiceImpl-从缓存拿到父活动信息
2022-03-25 13:07:37.251|[http-nio-0.0.0.0-8002-exec-10]|INFO |c.t.a.s.impl.SignUpServiceImpl-从缓存拿到父活动信息
2022-03-25 13:07:37.707|[http-nio-0.0.0.0-8002-exec-10]|INFO |c.t.a.s.impl.SignUpServiceImpl-从缓存拿到父活动信息
2022-03-25 13:07:37.783|[http-nio-0.0.0.0-8002-exec-10]|INFO |c.t.a.w.annotation.LogCostTime-请求结束时间：2022-03-25 13:07:37.783
2022-03-25 13:07:37.783|[http-nio-0.0.0.0-8002-exec-10]|INFO |c.t.a.w.annotation.LogCostTime-请求耗时：3005
2022-03-25 13:07:40.252|[http-nio-0.0.0.0-8002-exec-4]|INFO |c.t.a.w.annotation.LogCostTime-请求时间：2022-03-25 13:07:40.252
2022-03-25 13:07:40.252|[http-nio-0.0.0.0-8002-exec-4]|INFO |c.t.a.w.annotation.LogCostTime-请求IP：192.168.10.25
2022-03-25 13:07:40.252|[http-nio-0.0.0.0-8002-exec-4]|INFO |c.t.a.w.annotation.LogCostTime-请求用户：oBfby4h_1hj7bP3cNTnPesDkZYU0
